date,team_a,team_b,score
2020-01-26,1610612740,1610612738,231
2020-01-26,1610612757,1610612754,268
2020-01-25,1610612762,1610612742,219
2020-01-25,1610612739,1610612741,224
2020-01-25,1610612750,1610612760,217
2020-01-25,1610612755,1610612747,199
2020-01-24,1610612766,1610612749,219
2020-01-24,1610612765,1610612763,237
2020-01-24,1610612753,1610612738,207
2020-01-24,1610612752,1610612761,230
2020-01-24,1610612741,1610612758,179
2020-01-24,1610612740,1610612743,219
2020-01-24,1610612760,1610612737,251
2020-01-24,1610612759,1610612756,202
2020-01-23,1610612739,1610612764,236
2020-01-23,1610612757,1610612742,258
2020-01-22,1610612765,1610612758,233
2020-01-22,1610612753,1610612760,234
2020-01-22,1610612761,1610612755,202
2020-01-22,1610612737,1610612746,197
2020-01-22,1610612738,1610612763,214
2020-01-22,1610612748,1610612764,263
2020-01-22,1610612741,1610612750,227
2020-01-22,1610612745,1610612743,226
2020-01-22,1610612756,1610612754,199
2020-01-22,1610612740,1610612759,238
2020-01-22,1610612744,1610612762,225
2020-01-20,1610612764,1610612765,206
2020-01-20,1610612737,1610612761,239
2020-01-20,1610612751,1610612755,228
2020-01-20,1610612766,1610612753,189
2020-01-20,1610612739,1610612752,192
2020-01-20,1610612748,1610612758,231
2020-01-20,1610612745,1610612760,219
2020-01-20,1610612763,1610612740,242
2020-01-20,1610612749,1610612741,209
2020-01-20,1610612738,1610612747,246
2020-01-20,1610612750,1610612743,207
2020-01-20,1610612756,1610612759,238
2020-01-20,1610612762,1610612754,206
2020-01-20,1610612757,1610612744,253
2020-01-18,1610612740,1610612746,263
2020-01-18,1610612738,1610612756,242
2020-01-18,1610612737,1610612765,239
2020-01-18,1610612752,1610612755,177
2020-01-18,1610612741,1610612739,234
2020-01-18,1610612750,1610612761,234
2020-01-18,1610612745,1610612747,239
2020-01-18,1610612744,1610612753,204
2020-01-18,1610612760,1610612757,225
2020-01-18,1610612762,1610612758,224
2020-01-17,1610612754,1610612750,230
2020-01-17,1610612755,1610612741,189
2020-01-17,1610612761,1610612764,251
2020-01-17,1610612759,1610612737,241
2020-01-17,1610612742,1610612757,232
2020-01-16,1610612752,1610612756,219
2020-01-16,1610612749,1610612738,251
2020-01-16,1610612740,1610612762,270
2020-01-16,1610612744,1610612743,265
2020-01-16,1610612746,1610612753,217
2020-01-15,1610612738,1610612765,219
2020-01-15,1610612748,1610612759,206
2020-01-15,1610612741,1610612764,221
2020-01-15,1610612750,1610612754,203
2020-01-15,1610612743,1610612766,186
2020-01-15,1610612758,1610612742,250
2020-01-15,1610612747,1610612753,237
2020-01-14,1610612737,1610612756,233
2020-01-14,1610612751,1610612762,225
2020-01-14,1610612763,1610612745,231
2020-01-14,1610612749,1610612752,230
2020-01-14,1610612746,1610612739,231
2020-01-13,1610612765,1610612740,227
2020-01-13,1610612738,1610612741,214
2020-01-13,1610612750,1610612760,221
2020-01-13,1610612757,1610612766,227
2020-01-13,1610612747,1610612739,227
2020-01-12,1610612764,1610612762,243
2020-01-12,1610612751,1610612737,194
2020-01-12,1610612761,1610612759,209
2020-01-12,1610612763,1610612744,224
2020-01-12,1610612743,1610612746,218
2020-01-12,1610612756,1610612766,192
2020-01-11,1610612738,1610612740,245
2020-01-11,1610612765,1610612741,207
2020-01-11,1610612742,1610612755,200
2020-01-11,1610612743,1610612739,214
2020-01-11,1610612757,1610612749,223
2020-01-10,1610612752,1610612740,234
2020-01-10,1610612751,1610612748,230
2020-01-10,1610612741,1610612754,221
2020-01-10,1610612763,1610612759,255
2020-01-10,1610612756,1610612753,192
2020-01-10,1610612762,1610612766,201
2020-01-10,1610612742,1610612747,243
2020-01-10,1610612758,1610612749,233
2020-01-10,1610612746,1610612744,209
2020-01-09,1610612765,1610612739,227
2020-01-09,1610612755,1610612738,207
2020-01-09,1610612760,1610612745,205
2020-01-08,1610612738,1610612759,243
2020-01-08,1610612766,1610612761,222
2020-01-08,1610612754,1610612748,230
2020-01-08,1610612753,1610612764,212
2020-01-08,1610612737,1610612745,237
2020-01-08,1610612742,1610612743,213
2020-01-08,1610612740,1610612741,231
2020-01-08,1610612762,1610612752,232
2020-01-08,1610612744,1610612749,205
2020-01-07,1610612739,1610612765,228
2020-01-07,1610612761,1610612757,200
2020-01-07,1610612751,1610612760,214
2020-01-07,1610612763,1610612750,231
2020-01-07,1610612756,1610612758,217
2020-01-06,1610612766,1610612754,219
2020-01-06,1610612753,1610612751,190
2020-01-06,1610612755,1610612760,233
2020-01-06,1610612764,1610612738,193
2020-01-06,1610612737,1610612743,238
2020-01-06,1610612740,1610612762,254
2020-01-06,1610612759,1610612749,230
2020-01-06,1610612758,1610612744,209
2020-01-05,1610612746,1610612752,267
2020-01-05,1610612748,1610612757,233
2020-01-05,1610612739,1610612750,221
2020-01-05,1610612756,1610612763,235
2020-01-04,1610612746,1610612763,254
2020-01-04,1610612751,1610612761,223
2020-01-04,1610612753,1610612762,205
2020-01-04,1610612737,1610612754,227
2020-01-04,1610612739,1610612760,227
2020-01-04,1610612764,1610612743,242
2020-01-04,1610612742,1610612766,243
2020-01-04,1610612744,1610612765,215
2020-01-03,1610612738,1610612737,215
2020-01-03,1610612753,1610612748,190
2020-01-03,1610612745,1610612755,226
2020-01-03,1610612756,1610612752,232
2020-01-03,1610612747,1610612740,236
2020-01-02,1610612739,1610612766,215
2020-01-02,1610612754,1610612743,240
2020-01-02,1610612748,1610612761,160
2020-01-02,1610612750,1610612744,183
2020-01-02,1610612759,1610612760,212
2020-01-02,1610612746,1610612765,238
2020-01-01,1610612764,1610612753,223
2020-01-01,1610612752,1610612757,210
2020-01-01,1610612749,1610612750,210
2019-12-31,1610612766,1610612738,201
2019-12-31,1610612754,1610612755,212
