date,team_a,team_b,score
2020-02-03,1610612766,1610612753,212.0
2020-02-03,1610612739,1610612752,273.0
2020-02-03,1610612754,1610612742,215.0
2020-02-03,1610612764,1610612744,242.0
2020-02-03,1610612737,1610612738,238.0
2020-02-03,1610612751,1610612756,216.0
2020-02-03,1610612748,1610612755,243.0
2020-02-03,1610612763,1610612765,178.0
2020-02-03,1610612758,1610612750,222.0
2020-02-03,1610612746,1610612759,213.0
2020-02-02,1610612765,1610612743,251.0
2020-02-02,1610612745,1610612740,226.0
2020-02-02,1610612749,1610612756,237.0
2020-02-02,1610612761,1610612741,231.0
2020-02-01,1610612746,1610612750,224.0
2020-02-01,1610612754,1610612752,177.0
2020-02-01,1610612753,1610612748,191.0
2020-02-01,1610612739,1610612744,243.0
2020-02-01,1610612764,1610612751,220.0
2020-02-01,1610612738,1610612755,211.0
2020-02-01,1610612742,1610612737,223.0
2020-02-01,1610612759,1610612766,204.0
2020-02-01,1610612758,1610612747,242.0
2020-02-01,1610612757,1610612762,231.0
2020-01-31,1610612765,1610612761,197.0
2020-01-31,1610612751,1610612741,251.0
2020-01-31,1610612745,1610612742,249.0
2020-01-31,1610612740,1610612763,250.0
2020-01-31,1610612749,1610612743,242.0
2020-01-31,1610612756,1610612760,218.0
2020-01-31,1610612747,1610612757,246.0
2020-01-30,1610612739,1610612761,224.0
2020-01-30,1610612764,1610612766,228.0
2020-01-30,1610612737,1610612755,244.0
2020-01-30,1610612738,1610612744,223.0
2020-01-30,1610612743,1610612762,206.0
2020-01-30,1610612746,1610612758,227.0
2020-01-29,1610612754,1610612741,221.0
2020-01-29,1610612751,1610612765,240.0
2020-01-29,1610612752,1610612763,233.0
2020-01-29,1610612759,1610612762,247.0
2020-01-29,1610612757,1610612745,237.0
2020-01-29,1610612758,1610612760,220.0
2020-01-28,1610612766,1610612752,189.0
2020-01-28,1610612755,1610612744,219.0
2020-01-28,1610612739,1610612740,236.0
2020-01-28,1610612761,1610612737,244.0
2020-01-28,1610612748,1610612738,210.0
2020-01-28,1610612763,1610612743,200.0
2020-01-28,1610612749,1610612764,282.0
2020-01-28,1610612742,1610612756,237.0
2020-01-27,1610612765,1610612739,215.0
2020-01-27,1610612748,1610612753,205.0
2020-01-27,1610612741,1610612759,219.0
2020-01-27,1610612750,1610612758,262.0
2020-01-27,1610612760,1610612742,204.0
2020-01-27,1610612762,1610612745,243.0
2020-01-26,1610612743,1610612745,227.0
2020-01-26,1610612759,1610612761,216.0
2020-01-26,1610612737,1610612764,285.0
2020-01-26,1610612752,1610612751,207.0
2020-01-26,1610612753,1610612746,209.0
2020-01-26,1610612763,1610612756,223.0
2020-01-26,1610612740,1610612738,231.0
2020-01-26,1610612757,1610612754,268.0
2020-01-25,1610612762,1610612742,219.0
2020-01-25,1610612765,1610612751,232.0
2020-01-25,1610612739,1610612741,224.0
2020-01-25,1610612750,1610612760,217.0
2020-01-25,1610612755,1610612747,199.0
2020-01-24,1610612766,1610612749,219.0
2020-01-24,1610612765,1610612763,237.0
